url, title,
http://www.drupal.org, Drupal,,
http://api.drupal.com, Drupal API,,

https://chrome.google.com/webstore/detail/html5-outliner/afoibpobokebhgfnknfndkgemglggomo?hl=en, HTML5 Outliner (Chrome Plugin),,

http://www.gerardolarios.com/plugins-and-tools/fb-photo-stream/, fbPhotoStream,,

http://bullshitipsum.com/, Bullshit Ipsum,,
https://placehold.it/, placehold.it,,

https://youtu.be/gqOEoUR5RHg, Bootstrap Video,,

http://www.codeproject.com/Articles/33052/Visual-Representation-of-SQL-Joins, SQL Joins Visualized,,

http://broccoli-taco.com/, Broccoli Taco,,

http://thenextweb.com/dd/2015/09/01/is-adaptive-better-than-responsive-design/, Is adaptive better than responsive design?,,
http://thenextweb.com/dd/2015/04/10/how-to-design-websites-that-mirror-how-our-eyes-work/, How to Design sites that mirror how the eye works,,
https://en.wikipedia.org/wiki/Human_processor_model, Wikipedia’s Human Processor Mode,,
http://www.nngroup.com/articles/clickable-elements/, Beyond Blue Links: Making Clickable Elements Recognizable,,
http://www.nngroup.com/reports/strategic-design-faqs/, Strategic Design for FAQs,,
http://www.nngroup.com/courses/designing-millennials/, Designing for Millennials,,
http://www.nngroup.com/articles/flat-design/, Flat Design: Its Origins, Its Problems, and Why Flat 2.0 Is Better for Users,,

http://responsiveprocess.com/, The Responsive Process,,
http://thenextweb.com/socialmedia/2015/06/15/the-science-of-great-visuals-how-to-use-the-best-fonts-colors-and-layouts/, The science of Creating Great Images for the web,,
http://thenextweb.com/dd/2015/06/02/embracing-emptiness-in-web-design/, Emptiness in Web Design,,
http://www.webdesignerdepot.com/2015/05/designing-patterns-the-biggest-web-trend-of-2015-so-far/, Designing Patterns: The Biggest Web Trend of 2015 so far,,
http://thenextweb.com/dd/2015/06/16/how-cards-are-taking-over-web-design/, How Cards Are Taking Over Web Design,,
http://www.sitepoint.com/another-20-docs-guides-front-end-developers/, Another 20 Docs and Guides for Front-End Developers,,
http://thenextweb.com/dd/2015/06/23/the-changing-face-of-animation-interaction-design/, The Changing Face of Animation & Interaction Design,,
http://thenextweb.com/dd/2015/06/23/future-ux-design/, The Future of UX Design,,
http://www.sitepoint.com/good-web-design-cost/, Why good design doesn’t cost $50,,

http://validator.w3.org/mobile-alpha/, w3c Mobile Checker,,
http://simplesharingbuttons.com/, Simple Sharing Button Generator,,
http://www.sitepoint.com/drowning-in-tools-web-development-industry/, Drowning in Tools in the Web Development Industry,,
http://styleguides.io/tools.html, StyleGuides.io,,
https://color.adobe.com/, Color Wheel,,
http://www.creativebloq.com/design-tools/data-visualization-712402, The 37  best tools for data visualization,,
http://simplesharingbuttons.com/, Simple Sharing Button Generator,,
http://thenextweb.com/dd/2015/04/07/how-to-create-the-right-emotions-with-color-in-web-design/, Color + Emotion in Web Design,,
http://www.colourlovers.com/, COLOURlovers,,
http://www.google.com/fonts, Google Fonts,,
http://ilovetypography.com/, I Love Typography,,
http://fontsinuse.com/, Fonts in Use,,
http://www.dafont.com/es/, DaFont,,
http://www.myfonts.com/, MyFonts.com,,
http://reeddesign.co.uk/test/points-pixels.html, Points to Pixels/Ems/% Chart,,

